compound_stem,SMILES,compound_name,pubchem_cid,kegg_kid,classifier_target,similar_to
A92434537,OC(=O)c1ccc(NC(CC(=O)c2ccccc2)c2ccc(Br)cc2)cc1,AC1MH4FJ,2946078,NA,NA,NA
K94178265,Clc1ccc(OCC(=O)Nc2ccc(N3CCN(CC3)C(=O)c3ccco3)c(Cl)c2)cc1,AC1MH4XH,2996390,NA,NA,NA
K04224094,Cc1ccc(cc1)C(=O)N1CCN(CC1)c1ccc(NC(=O)COc2c(C)cc(C)cc2Cl)cc1,AC1MH9BF,2948339,NA,NA,NA
A97384971,CCN(CC)CCn1c2ccccc2n(CC(O)COc2ccc(Cl)cc2Cl)c1=N,AC1MH9LX,2948477,NA,NA,NA
A58386869,Cc1ccc(C(=O)Nc2sc3CC(CCc3c2C(N)=O)C(C)(C)C)c(C)c1,AC1MHCNP,2949843,NA,NA,NA
K08874579,CCCCCn1nnc2c1c1ccccc1oc2=O,AC1MJZEL,3145906,NA,NA,NA
A84435260,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C2c1ccc(s1)C#N)[N+]([O-])=O,AC1MKFK5,3156444,NA,NA,NA
A97031016,CCOC(=O)c1ccc(NC(=O)CSC2=NC(=O)C(CC)C(=O)N2)cc1,AC1MMRWI,3243465,NA,NA,NA
K76691493,CCCCCCn1c2ccccc2c(O)c(C(=O)Nc2nc(CC(=O)OCC)cs2)c1=O,AC1MWJ1G,54688350,NA,NA,NA
A77694273,CCOC(=O)c1cccc(c1)-c1ccc(o1)C1C2C(OC(N)=C1C#N)c1ccccc1OC2=O,AC1N0DMP,3915359,NA,NA,NA
K31887340,COc1ccc(cc1)-c1nnc(NC(=O)C2CC2)o1,AC1N3CPT,4110417,NA,NA,NA
K70695391,COc1ccccc1Nc1nc(NCc2ccco2)c2ccccc2n1,AC1NC0TX,4551424,NA,NA,NA
K10552564,CCc1ccc(Cc2cnc(NC(=O)C3=NCCN3)s2)cc1,AC1NC7PE,4554526,NA,NA,NA
K28420130,CC(C)Sc1cc(N(C)CCOC(C)=O)c([N+]([O-])=O)c2nonc12,AC1NDNME,4604093,NA,NA,NA
K12092091,[O-][N+](=O)c1cc(ccc1N1CCOCC1)C(=O)Oc1ccc(Cl)cc1,AC1NIWVL,4812655,NA,NA,NA
A85020413,CC1CC1C(=O)Nc1ccc(cc1)-c1ccccc1,AC1NJTND,4877520,NA,NA,NA
A04956749,CCC(CO)N1C(C)=CC(=Cc2sc3ccccc3[n+]2Cc2ccccc2)C=C1C,AC1NQ1I5,5188611,NA,NA,NA
K74615599,Oc1ccc(cc1\C=C\C(=O)c1ccc(Cl)cc1)[N+]([O-])=O,AC1NRZIE,5350920,NA,NA,NA
K29177899,COc1cc(\C=C\c2ccc3c(Br)cc(Br)c(O)c3n2)ccc1O,AC1NS9SF,5356826,NA,NA,NA
K91188267,COc1cc(\C=C\C(=O)c2cccc(c2)[N+]([O-])=O)cc(OC)c1OC,AC1NT6LY,5346492,NA,NA,NA
K71239238,Oc1ccc(cc1)-c1nc2cc3ccccc3cc2nc1-c1ccccc1,AC1NTOS0,5408577,NA,NA,NA
K35815783,Cc1nc2ccccc2n1\N=C\c1ccc(o1)[N+]([O-])=O,AC1NTR5N,5410054,NA,NA,NA
K81447180,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@@H]1O,AC1NTUSE,5388973,NA,NA,NA
K10700030,Cc1cc2ncn(\N=C\c3ccc(s3)[N+]([O-])=O)c2cc1C,AC1NU9BA,5422060,NA,NA,NA
K95986273,Cc1nc2ccccc2n1\N=C\c1ccc(s1)[N+]([O-])=O,AC1NU9CP,5422079,NA,NA,NA
K88901363,OCc1nc2ccccc2n1\N=C\c1ccc(s1)[N+]([O-])=O,AC1NUA5M,5422568,NA,NA,NA
A11070335,CN1C(CC2=C\C(=N\NC(N)=O)C(=O)C=C12)S(O)(=O)=O,AC1NUQLB,5488509,NA,NA,NA
K58875597,CCn1c(\C=C\c2ccc(o2)[N+]([O-])=O)nc2ccc(I)cc2c1=O,AC1NWKY6,5731117,NA,NA,NA
A07538327,CCC(NC(=O)\C=C\c1cccc(Br)c1)c1ccccc1,AC1NX10T,5717543,NA,NA,NA
A35364340,FC(F)(F)C1CC(Nc2cc(nn12)C(=O)NCc1cccs1)c1ccc2OCOc2c1,AC1NX27S,5741617,NA,NA,NA
A74931089,CC1(C)C2CCC1(C)C(C2)NC(=O)\C=C\c1ccccc1,AC1NXBFP,5750514,NA,NA,NA
K82818268,C[n+]1c2SCC(=Nn2c2ccccc12)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,AC1NXX97,5761263,NA,NA,NA
A69000868,CC1CCCCN1C(=O)COC(=O)\C=C\c1ccc2ccccc2n1,AC1NYU5Z,5866154,NA,NA,NA
A95691982,Cc1ccccc1C1C=C(Nc2nc3ccccc3n12)c1cccs1,AC1O12FO,6084577,NA,NA,NA
M10663475,O.[Bi].OC(=O)c1ccccc1O,AC1O3F30,50930981,NA,NA,NA
K27276565,Cc1cccc(\C=N\c2ccc3c(c2)oc2ccccc32)c1O,AC1O9BWO,6778562,NA,NA,NA
K27704777,CCCCOC(=O)c1ccc(cc1)N=Nc1c(O)nc(O)c(C#N)c1C,AC1O9JFZ,6787223,NA,NA,NA
K96088509,Cc1nn(c(S)c1\C=N\CCC\N=C\c1c(C)nn(c1S)-c1ccccc1)-c1ccccc1,AC1O9SJI,6770674,NA,NA,NA
A69224916,COc1ccc(CC2SC(N\N=C\c3ccccc3O)=NC2=O)cc1,AC1OAJ7W,6805533,NA,NA,NA
A88055122,Oc1ccccc1\C=N\NC1=NC(=O)C(Cc2ccc(F)cc2)S1,AC1OARR8,6809297,NA,NA,NA
A14051184,Oc1ccc(Br)cc1C1=NNC(C1)c1ccc(F)cc1,AC1OBGEO,6847043,NA,NA,NA
K82630231,COc1ccccc1-c1nnc(Nc2nc3c(F)cccc3s2)o1,AC1OG3HH,7109973,NA,NA,NA
K24297096,CCOc1ccc2C(=O)\C(Oc2c1)=C\c1cccc(OCC(=O)OC)c1,AC1OHW8S,7243151,NA,NA,NA
K53448858,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,ACADESINE,17513,D02742,NA,NA
K15206589,S=C(SN1CCOCC1)N1CCOCC1,Accelerator otos,83700,NA,NA,NA
K50850824,CC1=CC(=O)NS(=O)(=O)O1,Acesulfamo,36573,NA,NA,NA
K11094367,CC(=O)Nc1ccccc1,acetanilide,904,NA,NA,NA
K64990520,COc1cc(ccc1O)C(C)=O,Acetovanillone,2214,NA,NA,NA
K63736853,Cc1cnc(c[n+]1[O-])C(O)=O,ACIPIMOX,5310993,D07190,NA,NA
K82928847,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1,ACY-1215,53340666,NA,NA,NA
K60907894,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,adiphenine,2031,D02772,NA,NA
K56543881,Fc1ccc(cc1)C(=O)N1CCC[C@@H](C1)c1nc(no1)-c1ccc(F)cc1,ADX-47273,11383075,NA,NA,NA
K34385139,CCCn1c(NCc2ccc(Br)cc2)nc2ccccc12,AE-848/42278608,975935,NA,NA,NA
K53456753,COCCCNC(=O)c1c(NC(=O)c2ccc(cc2)C(C)(C)C)sc2CCCCc12,AF-399/41502550,1762488,NA,NA,NA
K63094696,COC(=O)c1ccc(NC(=O)COc2ccc(cc2)-c2ccc(cc2)C#N)cc1,AF-399/42386163,1034299,NA,NA,NA
K96730552,Cc1cccc(Nc2cc(Cl)c3nonc3c2[N+]([O-])=O)c1C,AG-227/40703555,2904035,NA,NA,NA
K47105409,Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1,ag-490,NA,NA,NA,NA
K96172903,Cc1ccc(OCC(=O)N2CCCc3ccccc23)cc1,AG-670/36772053,668303,NA,NA,NA
K19364624,COc1ccc(cc1OC)C(=O)NC(=S)Nc1ccc(cc1)N1CCCCC1,AG-690/15429933,1138912,NA,NA,NA
A69843762,CCC1=NN(C(=O)c2ccncc2)C(O)(C1)c1ccc(Br)cc1,AG-690/37079053,2884982,NA,NA,NA
K00615600,CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23,AG14361,9840076,NA,NA,NA
K53024615,CCOC(=O)COc1ccc(cc1)S(=O)(=O)N1CCC(C)CC1,AH-487/41798959,894170,NA,NA,NA
K42226036,CCOC(=O)COc1ccc(cc1)S(=O)(=O)Nc1cccc(Cl)c1C,AH-487/41804827,1210698,NA,NA,NA
K40202248,Brc1ccc(SCC(=O)Nc2ccc(cc2)C#N)cc1,AH-487/42192741,900694,NA,NA,NA
A46526934,OC1(CC(=O)c2ccc3OCCOc3c2)C(=O)N(CCc2ccccc2)c2ccc(Cl)cc12,AK-778/43413630,2951000,NA,NA,NA
A67256774,OC1(CC(=O)c2cccnc2)C(=O)N(CCc2ccccc2)c2ccc(Cl)cc12,AK-778/43413643,2950908,NA,NA,NA
A92801646,OC1(CC(=O)c2ccc(Cl)s2)C(=O)N(CCc2ccccc2)c2ccc(Cl)cc12,AK-778/43413645,2951403,NA,NA,NA
K39537221,CCOC(=O)c1ccc(COC(=O)c2ccc(cc2)-c2nnc(o2)-c2ccccc2)o1,AK-918/42979615,1286715,NA,NA,NA
A69409213,O=C(Nc1ccc(Oc2ccccc2)cc1)C1CCCO1,AK-968/11532042,2862126,NA,NA,NA
K07326969,COc1cccc(c1)C(=O)Nc1sc2CCCCCCc2c1C(N)=O,AK-968/40732547,1023110,NA,NA,NA
K14288732,Brc1ccc(o1)C(=O)N1CCC(Cc2ccccc2)CC1,AK-968/41753486,843090,NA,NA,NA
K29682807,CCOC(=O)c1sc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c(C(=O)OCC)c1C,AK-968/41922732,2171781,NA,NA,NA
K88718299,CC(C)OC(=O)c1c(NC(=O)c2cc3ccccc3oc2=O)sc(C)c1C,AK-968/41925647,1000935,NA,NA,NA
K85043821,COC(=O)c1sccc1NC(=O)c1c(F)c(F)c(F)c(F)c1F,AK-968/41927585,2933610,NA,NA,NA
A07870296,CN1CCc2cc3OCOc3cc2C1[C@@H]1OC(=O)c2c1ccc1OCOc21,AKOS015900603,46783703,NA,NA,NA
A66769347,Brc1ccc(NC(=O)CC2COc3ccccc3O2)cc1,AL-281/42013026,2945228,NA,NA,NA
K60102752,COc1cc(CC=C)cc(C(=O)NCCO)c1O,Alibendol,71916,NA,NA,NA
M18497616,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC,aliskiren hemifumarate,0,NA,NA,NA
K73191876,Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,Alizarin,6293,NA,NA,NA
K89634775,NC(S)=NCC=C,ALLYLTHIOUREA,1549517,NA,NA,NA
K04851519,OCc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,Aloe-emodin,10207,NA,NA,NA
K96391852,C1CCN2C[C@H]3C[C@H](C=C4CCCN[C@@H]34)[C@H]2C1,Aloperine,162147,NA,NA,NA
K67043667,CN(C)c1nc(nc(n1)N(C)C)N(C)C,altretamine,2123,D02841,NA,NA
K92000912,Cc1c(nn(c1-c1ccc(I)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1,AM251,2125,NA,NA,NA
A44260089,Clc1ccc(cc1)C(=O)C1CCCN(Cc2cnn(c2)-c2ccccc2)C1,Ambcb39458557,16188427,NA,NA,NA
A01009248,CC(C)=CCN1CCN(CCC2=C(C)CCCC2(C)C)CC1CCO,Ambcb62412798,16191579,NA,NA,NA
A03885927,COc1ccc(cc1F)C(=O)C1CCCN(C1)C(=O)c1ccc(CSC)o1,Ambcb72636012,24790258,NA,NA,NA
K16484098,CCOC(=O)c1ccc(NC(=S)NCCN2CCc3ccccc3C2)cc1,Ambcb7699418,1296550,NA,NA,NA
K34185671,CC(=O)Nc1nc2c(Oc3cc(ncn3)-c3ccc(cc3)C(F)(F)F)cccc2s1,AMG 517,16007367,NA,NA,NA
K21728777,Cc1csc(c1)-c1nnc(Nc2ccc(Oc3ncccc3-c3ccnc(N)n3)cc2)c2ccccc12,AMG 900,24856041,NA,NA,NA
K32285926,COc1ccc2c(OCc3nnc4ccc(nn34)-c3ccccc3)ccnc2c1,AMG-208,24864821,NA,NA,NA
K21782625,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,AMG458,24764449,NA,NA,NA
K65544384,Nc1ccc(cc1)C(=O)NCC(O)=O,aminohippuric acid,2148,D06890,NA,NA
A60197193,CCN1CCCC1CNC(=O)c1cc(c(N)cc1OC)S(=O)(=O)CC,amisulpride,2159,D07310,NA,NA
A82249027,C[C@H]1OC(O[C@@H]2C[C@@H]3O[C@@](O)(C[C@H](O)[C@H]3C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\2)[C@@H](O)[C@@H](N)[C@@H]1O,amphotericin b (abelcet),0,NA,NA,NA
K03504028,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,amygdalin,656516,NA,NA,NA
K60544049,Cc1nn(c(O)c1N=Nc1ccc(O)cc1)-c1nc(cs1)-c1ccc(Cl)cc1,AN-329/11385102,5494764,NA,NA,NA
K37030519,CCCOC(=O)c1ccc(NC(=S)NC(=O)c2ccc(Cl)cc2)cc1,AN-329/40278617,1591507,NA,NA,NA
K01197729,Cc1ccc(cc1Br)C(=O)NCCC1=CCCCC1,AN-329/41006644,730174,NA,NA,NA
K34889681,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(cc3)C(C)(C)C)cc2)no1,AN-329/41044433,2068332,NA,NA,NA
K99364601,Cc1ccc(cc1I)C(=O)NCCC1=CCCCC1,AN-329/41437629,1014186,NA,NA,NA
K74756534,O=C(NC(=S)N1CCc2ccccc12)c1ccccc1,AN-329/41572358,833366,NA,NA,NA
K29609654,CC1CCN(CC1)C(=S)NC(=O)c1cccc(C)c1,AN-329/41572405,833375,NA,NA,NA
K99779117,O=C(NC(=S)N1CCCC1)c1ccc(cc1)-c1ccccc1,AN-329/41572457,833377,NA,NA,NA
K81452984,Cc1ccc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(F)cc3)cc2)c(C)c1,AN-329/41572566,1014373,NA,NA,NA
K00753529,CCOC(=O)c1ccc(NC(=S)NC(=O)CCc2ccccc2)cc1,AN-329/41573018,2197745,NA,NA,NA
A97316251,CCC(C)c1ccccc1OCC(=O)Nc1ccc(Cl)cc1,AN-329/41868719,2949615,NA,NA,NA
K60104789,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,AN-329/41921757,1015445,NA,NA,NA
K68467937,CCOC(=O)c1c(NC(=O)COc2ccc(cc2)C(C)C)sc2CCCc12,AN-329/42138525,2208892,NA,NA,NA
K90006318,CN(C)S(=O)(=O)c1ccc(NC(=S)NC(=O)CCCOc2ccc(Cl)cc2Cl)cc1,AN-329/42260834,2062527,NA,NA,NA
K26097370,CN1CCN(CC1)C(=S)NC(=O)c1ccc(cc1)-c1ccccc1,AN-329/42504628,974369,NA,NA,NA
K06193370,Fc1ccc(cc1)C(=O)NC(=S)N(CC=C)CC=C,AN-329/42607878,1792008,NA,NA,NA
K57833269,CC(C)(C)c1ccc(cc1)C(=O)NC(=S)NCc1ccco1,AN-329/42685548,695273,NA,NA,NA
K20589855,Fc1cc(F)c(NC(=O)c2cc(on2)-c2ccccc2)c(Br)c1,AN-329/43211298,1093728,NA,NA,NA
K08972071,CC(C)c1ccc(NC(=S)NC(=O)c2ccccc2F)cc1,AN-465/41164535,833904,NA,NA,NA
K32556562,CCC(=O)NC(=S)Nc1ccc(cc1)C(C)C,AN-465/41164650,833906,NA,NA,NA
K89913396,Clc1ccc(OCc2ccccc2Cl)c(CNC2CCCCC2)c1,AN-465/41520131,2193408,NA,NA,NA
K78583553,COc1cc(CNC23CC4CC(CC(C4)C2)C3)ccc1OCc1ccccc1,AN-465/41520606,2942241,NA,NA,NA
A18747765,COc1cc(CNC(C)c2ccccc2)cc(Br)c1OCc1ccccc1,AN-465/41991331,2951361,NA,NA,NA
K58597051,CC(C)(C)c1ccc(Cn2cnc(n2)[N+]([O-])=O)cc1,AN-465/42154521,834170,NA,NA,NA
K68316226,Clc1cccc(c1)-c1ccc(CNCc2ccccn2)o1,AN-465/43369063,4723727,NA,NA,NA
K59772011,Fc1ccc(cc1Cl)-c1ccc(CNCc2ccccn2)o1,AN-465/43369115,4724585,NA,NA,NA
K87515434,O=C(CSc1nnc(Cc2ccccc2)o1)Nc1nccs1,AN-698/41761042,866875,NA,NA,NA
K95040287,CCC(C)(C)c1ccc(OCC(=O)Nc2ccncc2)cc1,AN-979/41972061,839550,NA,NA,NA
K82164249,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)cc1,Andarine,9824562,NA,NA,NA
A24717230,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/C(O)COC3=O)C(=C)CC[C@H]12,andrographolide,NA,NA,NA,NA
K88611939,COc1ccc(cc1)C(=O)N1CCCC1=O,aniracetam,2196,D01883,NA,NA
K46937689,Cc1cc(=O)n(-c2ccccc2)n1C,antipyrine,2206,D01380,NA,NA
A37614985,Cc1ccc2n(CC(O)CN3CCN(CCO)CC3)c(c(-c3ccccc3)c2c1)-c1ccccc1,AP-124/41376194,2942136,NA,NA,NA
A85775941,Cc1ccccc1N1CCN(CC(O)COc2ccc(cc2)C(=O)c2ccccc2)CC1,AP-124/43237944,2979948,NA,NA,NA
K60704113,COc1ccc(Cc2nn3c(nnc3s2)-c2ccccc2)cc1,AP-501/42002283,973045,NA,NA,NA
K89467573,Cc1ccc(cc1)-c1nnc(SCC#C)o1,AP-853/41269939,2176450,NA,NA,NA
K81855175,Fc1ccc(NC(=O)CCSc2nnc(o2)-c2ccccc2)cc1,AP-853/42160257,851261,NA,NA,NA
K39904200,Cc1cccc(c1)-c1noc(n1)-c1cc2ccccc2oc1=O,AP-964/42234883,851435,NA,NA,NA
K18120214,CCOc1cc(CNCCO)ccc1OCc1ccc(Cl)cc1Cl,AP-970/41681513,2214867,NA,NA,NA
K48177907,CCOc1cc(CNCCO)cc(Br)c1OCc1ccc(Cl)cc1Cl,AP-970/41681530,2200479,NA,NA,NA
K61570936,COc1cc(CNc2ccc(F)c(Cl)c2)ccc1OCC(=O)NC1CCCCC1,AP-970/42167869,979525,NA,NA,NA
K29032655,CCCC(=O)N1CCN(CC1)c1ccc(NC(=O)c2ccc(o2)[N+]([O-])=O)cc1,AP-970/43375806,3161426,NA,NA,NA
K44471205,CN1CCN(CC1)c1ccc(NC(=S)NC(=O)c2ccc(o2)-c2cccc(Cl)c2)cc1,AP-970/43376867,2977711,NA,NA,NA
K15164005,Clc1ccc(CN2C(=O)C(=O)c3ccccc23)cc1Cl,Apoptosis Activator 2,1901244,NA,NA,NA
K38285873,CCOc1ccccc1NC(=O)CSc1nc2ccc(NC(=O)c3ccccc3Cl)cc2s1,AQ-088/42181588,980248,NA,NA,NA
K43704102,Oc1c(Sc2cccc3cccnc23)cc(NS(=O)(=O)c2ccccc2)c2ccccc12,AQ-390/42708968,1296368,NA,NA,NA
K65276222,Clc1ccc(Nc2ccc(NCc3ccccc3)nn2)cc1,AQ-432/42006640,6414439,NA,NA,NA
A04491208,CC(NS(=O)(=O)c1cccc(Cl)c1)C(=O)Nc1ccc(Br)cc1F,AQ-750/42209770,2959534,NA,NA,NA
K88646909,COC(=O)C1=CCCN(C)C1,arecoline,2230,NA,NA,NA
K89709433,Cc1cc(Nc2ncnc3ccc(cc23)-c2ccc(CNCCS(C)(=O)=O)o2)ccc1Oc1ccn2ncnc2c1,Arry-380,42598643,NA,NA,NA
K27678847,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,Artemisinine,9838675,NA,NA,NA
K14988953,Oc1cc(F)ccc1-c1ccc(\C=C2/SC(=O)NC2=O)o1,as-252424,NA,NA,NA,NA
K63915849,FC1(F)Oc2ccc(cc2O1)\C=C1/SC(=O)NC1=O,as-604850,NA,NA,NA,NA
K76773351,O=C1NC(=O)\C(S1)=C\c1ccc2nccnc2c1,AS-605240,5289247,NA,NA,NA
K78474963,Cc1ccc(NCc2nnc(SCC(=O)OC3CCCCC3)o2)c(C)c1,ASN 02324366,654608,NA,NA,NA
K99329868,COC(=O)CSc1nnc(o1)-c1ccc(OC)cc1OC,ASN 04392456,655275,NA,NA,NA
K26838195,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1,AST-1306,24739943,NA,NA,NA
K08188887,CC(C)(O)[C@H]1CC[C@](C)(O1)[C@H]1[C@@H](O)C[C@@]2(C)[C@@H]3C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C4(C)C,Astragaloside A,13943299,NA,NA,NA
K83030136,CN[C@@H](C)C(=O)N[C@H]1CN(CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c1ccccc1)c1ccccc1)C(=O)CC(C)C,AT-406,25022340,NA,NA,NA
K13390322,Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1,AT7519,11338033,NA,NA,NA
K12040459,Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,AT7867,11175137,NA,NA,NA
K24576554,O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,AT9283,56965909,NA,NA,NA
K94830329,OC(=O)c1cccc(c1)-c1noc(n1)-c1ccccc1F,Ataluren,11219835,D09323,NA,NA
M94983326,CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1.CC(C)c1c(C(=O)Nc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O)-c1ccccc1,Atorvastatin acid,70680954,NA,NA,NA
K14401183,COc1ccc(cc1)C(=O)CC(=O)c1ccc(cc1)C(C)(C)C,Avobenzone,51040,D03015,NA,NA
K64888243,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c1ccc(F)cc1,AZ 960,25099184,NA,NA,NA
K99113996,CNC(=O)c1cccc(c1)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,AZD2014,25262792,NA,NA,NA
K85014146,COC1CCN(CC1)C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,AZD2461,44199317,NA,NA,NA
K28392481,COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1,AZD4547,51039095,NA,NA,NA
K99023089,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCO)c1ccc(Cl)cc1,AZD5363,25227436,NA,NA,NA
K86525559,NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1,AZD7762,11152667,NA,NA,NA
K69932463,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C,AZD8055,25262965,NA,NA,NA
K98572433,CNC(=O)CN1CCC(CC1)Oc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,AZD8931,11488320,NA,NA,NA
K80577835,Cc1ccccc1NC(=O)CCCCCCCCC=C,BAS 00115898,2172851,NA,NA,NA
K07099813,CC(C)COc1ccc(CN=C(S)NCc2ccccc2)cc1,BAS 00232890,2237673,NA,NA,NA
K14312262,Brc1ccc(cc1)C(=O)CCN1CCOCC1,BAS 00363823,567715,NA,NA,NA
K75402941,CS(=O)(=O)Cc1nc2ccccc2oc1=O,BAS 00552780,652987,NA,NA,NA
K21943329,Clc1ccccc1Cc1cnc(NC(=O)c2cccs2)s1,BAS 01055770,2447649,NA,NA,NA
K38927720,Cc1ccc(cc1)S(=O)(=O)NC(=O)Oc1cccc2cccnc12,BAS 01152620,716734,NA,NA,NA
K37901111,COC(=O)CSc1nnc(o1)-c1ccc(Cl)cc1,BAS 01816239,855929,NA,NA,NA
K28003251,COc1ccccc1NC(=O)CSc1nc(cc(c1C#N)C(F)(F)F)-c1ccccc1,BAS 02052578,1137417,NA,NA,NA
A99568489,C1CCC(CC1)c1ccc2n3CCCNC4CCCc(c34)c2c1,BAS 02098883,3137842,NA,NA,NA
K87078813,Clc1ccc(cc1)-c1csc(n1)-c1cccnc1,BAS 03014845,731349,NA,NA,NA
A81026735,Cc1nc2ccccc2n1CC(O)COc1ccc(cc1)C1CCC=C1,BAS 03112143,2910086,NA,NA,NA
K14426487,CCCc1nnc(NC(=O)c2c(O)c3cccc4CCCn(c34)c2=O)s1,BAS 03189479,54687454,NA,NA,NA
K35554077,O=C1CCCC(=O)C1=CNc1ccc2c(c1)oc1ccccc21,BAS 03264107,654328,NA,NA,NA
K36820132,CCc1ccc(OCCCC(=O)NCc2ccco2)cc1,BAS 03311011,1564937,NA,NA,NA
A39865250,CCOC(=O)c1nc2sc3CC(C)CCc3c2c(=O)[nH]1,BAS 04804927,3150775,NA,NA,NA
K02340854,Fc1ccc(NCCC(=O)c2ccco2)cc1,BAS 05331453,969605,NA,NA,NA
K54852632,Clc1ccc(SCCCn2ccnc2)cc1,BAS 05621275,2924106,NA,NA,NA
A11338997,Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl,BAS 06491519,2949588,NA,NA,NA
A08795384,O=C1OCCC1Sc1cccc2cccnc12,BAS 06983709,2947668,NA,NA,NA
K63345140,[O-][N+](=O)c1c(nn(c1C(Cl)Cl)-c1ccccc1)-n1cccn1,BAS 07023073,975919,NA,NA,NA
K00237776,CCOC(=O)Cn1cc(C#N)c2cccc(CC)c12,BAS 07202577,976597,NA,NA,NA
K14410012,O=C(Oc1cccc2cccnc12)c1cc2ccccc2oc1=O,BAS 07244057,1088813,NA,NA,NA
K71689748,C=CCn1c(nc2ccccc12)-c1cccs1,BAS 07248625,962267,NA,NA,NA
K97847611,Cc1n[nH]c(SCC(=O)Nc2ccc(OCc3ccccc3)cc2)n1,BAS 07779014,1090785,NA,NA,NA
K63183510,CSc1cccc(NC(=O)CSc2nnc(C)s2)c1,BAS 09089415,971203,NA,NA,NA
K33541267,CC(C)c1nnc(NC(=O)c2cc3cc(Br)ccc3oc2=O)s1,BAS 09527974,1093545,NA,NA,NA
K66975100,Cc1ccc(cc1)-c1cc(no1)C(=O)N1CCCc2ccccc12,BAS 09529849,1093789,NA,NA,NA
K13974240,CSc1nc(C)cc(OCC(=O)Nc2ccc(Cl)cc2)n1,BAS 09626877,974067,NA,NA,NA
